backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.115632,1,614
OF,reference,CG,none,8,1,0.124831,1,614
OF,reference,CG,none,8,1,0.118023,1,614
OF,reference,CG,none,8,1,0.118184,1,614
OF,reference,CG,none,8,1,0.118784,1,614
OF,reference,CG,none,8,1,0.118655,1,614
OF,reference,CG,none,8,1,0.118822,1,614
OF,reference,CG,none,8,1,0.118178,1,614
OF,reference,CG,none,8,1,0.114481,1,614
OF,reference,CG,none,8,1,0.117263,1,614
OF,reference,CG,none,8,1,0.112667,1,614
OF,reference,CG,none,8,1,0.120494,1,614
OF,reference,CG,none,8,1,0.116483,1,614
OF,reference,CG,none,8,1,0.117666,1,614
OF,reference,CG,none,8,1,0.117829,1,614
OF,reference,CG,none,8,1,0.114282,1,614
OF,reference,CG,none,8,1,0.112387,1,614
OF,reference,CG,none,8,1,0.113851,1,614
OF,reference,CG,none,8,1,0.119632,1,614
OF,reference,CG,none,8,1,0.115495,1,614
OF,reference,CG,none,8,1,0.119727,1,614
OF,reference,CG,none,8,1,0.120363,1,614
OF,reference,CG,none,8,1,0.119658,1,614
OF,reference,CG,none,8,1,0.113624,1,614
OF,reference,CG,none,8,1,0.117701,1,614
OF,reference,CG,none,8,1,0.118582,1,614
OF,reference,CG,none,8,1,0.117505,1,614
OF,reference,CG,none,8,1,0.120145,1,614
OF,reference,CG,none,8,1,0.118084,1,614
OF,reference,CG,none,8,1,0.11479,1,614
OF,reference,CG,none,8,1,0.115713,1,614
OF,reference,CG,none,8,1,0.114819,1,614
OF,reference,CG,none,8,1,0.115762,1,614
OF,reference,CG,none,8,1,0.1217,1,614
OF,reference,CG,none,8,1,0.118318,1,614
OF,reference,CG,none,8,1,0.118005,1,614
OF,reference,CG,none,8,1,0.121472,1,614
OF,reference,CG,none,8,1,0.115457,1,614
OF,reference,CG,none,8,1,0.118942,1,614
OF,reference,CG,none,8,1,0.116234,1,614
OF,reference,CG,none,8,1,0.116493,1,614
OF,reference,CG,none,8,1,0.117668,1,614
OF,reference,CG,none,8,1,0.113914,1,614
OF,reference,CG,none,8,1,0.124926,1,614
OF,reference,CG,none,8,1,0.119084,1,614
OF,reference,CG,none,8,1,0.114454,1,614
OF,reference,CG,none,8,1,0.118246,1,614
OF,reference,CG,none,8,1,0.113038,1,614
OF,reference,CG,none,8,1,0.115813,1,614
