backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,16,1,1.446124,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.471034,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.438978,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.454598,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.481702,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.433926,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.441895,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.443795,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.444326,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.456736,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.441008,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.435637,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.439183,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.456977,1,1409
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.59337,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.584781,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.581827,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.579578,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.577695,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.576177,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.58628,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.58312,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.594077,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.591203,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.592673,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.592826,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.584793,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.586985,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.584113,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.619049,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.592103,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.602614,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.590551,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.585798,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.61592,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.583403,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.57809,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.588573,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.599939,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.588619,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.586077,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.60254,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.585193,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.583524,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.583492,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.598067,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.590768,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.582303,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.589495,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.602843,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.618112,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.594413,1,1059
GKO,cuda,CG,BiCGStab,none,32,1,3.034892,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.073177,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.083467,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.095958,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.097921,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.075049,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.093489,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.063579,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.075582,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.075843,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,3.077359,1,2926
